year,code,jurisdiction,season,tmean_c,tmax_c,precip_mm
1970,NB,New Brunswick,fire,14.656799693366295,19.683514547399305,508.23395502858784
1971,NB,New Brunswick,fire,14.703480701323931,19.82940832416506,410.82714513644845
1972,NB,New Brunswick,fire,13.97789780529418,18.978317904532553,523.4300098404337
1973,NB,New Brunswick,fire,15.069353423312885,19.49358089154093,556.0110904928823
1974,NB,New Brunswick,fire,13.97251538816745,18.788752861537255,521.9967759557674
1975,NB,New Brunswick,fire,15.172566326970134,20.010021998334203,419.16056765682134
1976,NB,New Brunswick,fire,15.001371440947937,19.74526899505244,560.3576941068845
1977,NB,New Brunswick,fire,14.092409175502388,18.743227608342803,510.5402543206836
1978,NB,New Brunswick,fire,14.59424041512136,19.778150594782467,351.7461541003178
1979,NB,New Brunswick,fire,15.167177837677876,19.81924900690854,516.9363786676062
1980,NB,New Brunswick,fire,13.988555301321247,18.605090122366196,547.1576906611027
1981,NB,New Brunswick,fire,14.630409046856649,19.308455163666938,586.3553588990637
1982,NB,New Brunswick,fire,14.102339536700155,18.962629498948733,466.6660655553556
1983,NB,New Brunswick,fire,14.972082243896548,19.69617374344316,496.05035314248533
1984,NB,New Brunswick,fire,14.700705399713044,19.315885223920173,587.1594647981465
1985,NB,New Brunswick,fire,14.497001412209524,19.24539428211234,460.74338659640813
1986,NB,New Brunswick,fire,13.25432940959438,17.956287345247755,500.79782936680886
1987,NB,New Brunswick,fire,14.736370721649246,19.4956944292909,408.1662152494372
1988,NB,New Brunswick,fire,14.897692475165371,19.607131177798887,492.9680934721639
1989,NB,New Brunswick,fire,15.294221643481412,20.015394562208908,474.7914652560406
1990,NB,New Brunswick,fire,15.02690570513706,19.680351582191324,523.3122664871437
1991,NB,New Brunswick,fire,15.17754835739902,20.13471381857829,531.2494049453942
1992,NB,New Brunswick,fire,14.37654059856719,19.19119404770986,465.04456362974713
1993,NB,New Brunswick,fire,14.622774921601364,19.368252102666663,514.0225438200912
1994,NB,New Brunswick,fire,14.667332827566923,19.25598596780947,565.576305549919
1995,NB,New Brunswick,fire,15.1195958110014,20.184428130815522,411.7874853011244
1996,NB,New Brunswick,fire,14.451673820513179,19.003804733111284,521.2018303847043
1997,NB,New Brunswick,fire,14.141595539540074,18.800764624732068,493.9607608481894
1998,NB,New Brunswick,fire,15.338389255393958,19.982786628062357,536.0994624332579
1999,NB,New Brunswick,fire,16.800708998753024,21.818668085113988,536.1622455085276
2000,NB,New Brunswick,fire,14.193918218679356,18.882509107655146,430.98125059449245
2001,NB,New Brunswick,fire,15.832977676041256,20.86951330712864,435.15290221685524
2002,NB,New Brunswick,fire,14.731231532077409,19.67220172651279,475.6537719727774
2003,NB,New Brunswick,fire,15.290311214201607,19.926678046355416,481.88909597711347
2004,NB,New Brunswick,fire,14.401752747974635,19.11390037346682,458.2947547257171
2005,NB,New Brunswick,fire,15.119961951365996,19.782099385877924,517.9518889160427
2006,NB,New Brunswick,fire,15.412702047944943,20.084705280473237,505.2737295634616
2007,NB,New Brunswick,fire,14.7687967820415,19.607998217467593,457.9182608407844
2008,NB,New Brunswick,fire,14.779381131123717,19.314862485285417,542.8231921390529
2009,NB,New Brunswick,fire,14.630078391278285,19.073608372676315,541.468909449549
2010,NB,New Brunswick,fire,15.775619415767586,20.352910298239596,478.3401151309909
2011,NB,New Brunswick,fire,14.90568827347223,19.43948747855865,620.7543044450475
2012,NB,New Brunswick,fire,15.698862142004032,20.2789303864156,503.73991869694345
2013,NB,New Brunswick,fire,15.171404802155854,19.867154781666144,652.6703655243801
2014,NB,New Brunswick,fire,15.157662816864963,19.751139199794377,588.8217280057626
2015,NB,New Brunswick,fire,15.615459613267548,20.48167562904774,494.2759146090996
2016,NB,New Brunswick,fire,15.303719851892284,20.03000777502035,475.5433910532372
2017,NB,New Brunswick,fire,15.561537557685112,20.37464716405557,449.0881664871246
2018,NB,New Brunswick,fire,15.929924878614491,21.19467179937931,423.36540586725226
2019,NB,New Brunswick,fire,14.54850202792945,19.258793885570046,534.4149547569289
2020,NB,New Brunswick,fire,15.711647991855335,20.70103718605452,346.96772028364387
2021,NB,New Brunswick,fire,16.047488751418076,20.68751024503662,590.3453177064243
2022,NB,New Brunswick,fire,15.8673380887362,20.633018614613064,525.823947185028
2023,NB,New Brunswick,fire,15.725952570439997,20.175232776542064,657.3607157600578
2024,NB,New Brunswick,fire,16.753341549568255,21.52528016732703,406.22390610167065
2025,NB,New Brunswick,fire,16.189660348828752,21.280028459172826,379.834370090294
1959,NL,Newfoundland and Labrador,fire,9.402211294350053,13.608113105356654,421.2336999097797
1960,NL,Newfoundland and Labrador,fire,9.67104058590537,13.858435487078959,500.82728094339177
1961,NL,Newfoundland and Labrador,fire,9.351121555678946,13.604808864842742,457.12217735317796
1962,NL,Newfoundland and Labrador,fire,8.133912572199785,12.207658008302937,444.19255243838586
1963,NL,Newfoundland and Labrador,fire,7.650343744353996,11.712401959393247,520.9733066811527
1964,NL,Newfoundland and Labrador,fire,7.904952626846929,12.010140038536662,477.7018218518285
1965,NL,Newfoundland and Labrador,fire,7.881781046516132,11.721560944968989,539.638203294434
1966,NL,Newfoundland and Labrador,fire,8.273608847956288,12.183021695985259,565.8143022861452
1967,NL,Newfoundland and Labrador,fire,9.86008348378306,14.111310607655327,439.4595287087414
1968,NL,Newfoundland and Labrador,fire,7.8980375658251285,11.851492063511401,478.1969045779897
1969,NL,Newfoundland and Labrador,fire,7.741680309960185,11.533007676042793,492.76228294595893
1970,NL,Newfoundland and Labrador,fire,8.419039090547686,12.446845399663319,415.06121292892436
1971,NL,Newfoundland and Labrador,fire,8.704538810070737,12.62810130238388,473.8453070535992
1972,NL,Newfoundland and Labrador,fire,7.215069124932164,11.312452859875021,423.84625657666953
1973,NL,Newfoundland and Labrador,fire,9.791973688106436,13.839898480328083,465.33976041671747
1974,NL,Newfoundland and Labrador,fire,8.331522125668222,12.325414324519489,409.96948893148226
1975,NL,Newfoundland and Labrador,fire,9.021314173867717,13.039437703321775,437.2272641101115
1976,NL,Newfoundland and Labrador,fire,8.885050566654673,13.099642970111017,493.59518461036265
1977,NL,Newfoundland and Labrador,fire,8.053321348470769,11.826323365245043,540.3283926087051
1978,NL,Newfoundland and Labrador,fire,7.953125500631076,11.962729486888039,525.0276861385489
1979,NL,Newfoundland and Labrador,fire,10.023645981135642,14.198045673314061,563.188936476442
1980,NL,Newfoundland and Labrador,fire,8.316037203355195,11.986769196500385,539.4185150271721
1981,NL,Newfoundland and Labrador,fire,9.213802905193283,13.19887613232697,509.42740776073333
1982,NL,Newfoundland and Labrador,fire,8.232770492758252,12.173466664425291,471.5362730947319
1983,NL,Newfoundland and Labrador,fire,9.332242452714533,13.441918078318071,504.42530125081765
1984,NL,Newfoundland and Labrador,fire,9.3193735458484,13.228098799310553,530.3739159999709
1985,NL,Newfoundland and Labrador,fire,8.805932585165936,12.80121480482705,473.90500517614703
1986,NL,Newfoundland and Labrador,fire,8.474640332914026,12.623247328881535,437.36934719914393
1987,NL,Newfoundland and Labrador,fire,9.357178852938203,13.45980626003455,425.00726169761293
1988,NL,Newfoundland and Labrador,fire,9.190963181199109,13.301133653831936,483.0867022631126
1989,NL,Newfoundland and Labrador,fire,9.987923076554202,14.21954760547027,492.30072327417827
1990,NL,Newfoundland and Labrador,fire,8.909560520982637,12.99454902283826,447.38493614259585
1991,NL,Newfoundland and Labrador,fire,7.967025376221102,11.76742059540369,480.3058024556363
1992,NL,Newfoundland and Labrador,fire,7.9027711255300535,11.920907000076612,480.60039421520827
1993,NL,Newfoundland and Labrador,fire,8.715559103799626,12.679615740876411,468.8131981240451
1994,NL,Newfoundland and Labrador,fire,9.002146156733419,12.94411800264263,475.80557160945875
1995,NL,Newfoundland and Labrador,fire,9.360299473173297,13.48812461444148,442.4906015404771
1996,NL,Newfoundland and Labrador,fire,8.971515709386086,13.015401677716175,484.4665978923582
1997,NL,Newfoundland and Labrador,fire,8.62963755302164,12.466691860471174,584.338178633055
1998,NL,Newfoundland and Labrador,fire,10.113408504747394,13.98287459977327,533.9933514246211
1999,NL,Newfoundland and Labrador,fire,10.910672497996769,15.144403271919108,564.8573039248945
2000,NL,Newfoundland and Labrador,fire,9.390893778635318,13.285270462212841,493.7661214538535
2001,NL,Newfoundland and Labrador,fire,9.982425075475394,14.089885105708282,449.1915619019274
2002,NL,Newfoundland and Labrador,fire,8.800347163742963,12.777779694726824,509.85747589351485
2003,NL,Newfoundland and Labrador,fire,10.684898501218042,14.975808117535786,416.60378458515225
2004,NL,Newfoundland and Labrador,fire,9.271836621061304,13.088658254691634,521.1612696842794
2005,NL,Newfoundland and Labrador,fire,10.590621730898576,14.899464614672032,472.82415521692457
2006,NL,Newfoundland and Labrador,fire,10.776762308594732,14.954458238346831,488.15635401605357
2007,NL,Newfoundland and Labrador,fire,9.138302718617547,13.084763925207938,532.9344308452154
2008,NL,Newfoundland and Labrador,fire,10.569939119082713,14.537640417410117,475.0659582960604
2009,NL,Newfoundland and Labrador,fire,9.102458149332863,13.106743621026009,463.87985997024106
2010,NL,Newfoundland and Labrador,fire,9.777521857737689,13.527785754475891,556.9607924380676
2011,NL,Newfoundland and Labrador,fire,9.403093077004792,13.245070745971901,494.496567266223
2012,NL,Newfoundland and Labrador,fire,11.61821661033369,15.686899731085589,437.3985389966068
2013,NL,Newfoundland and Labrador,fire,9.636886066096231,13.76709255476397,531.5028496514558
2014,NL,Newfoundland and Labrador,fire,10.304351485518044,14.388803192255606,461.0607040378792
2015,NL,Newfoundland and Labrador,fire,9.57219225046646,13.571236036852888,486.39935547771256
2016,NL,Newfoundland and Labrador,fire,9.367537021909921,13.201313075056282,509.53164416818004
2017,NL,Newfoundland and Labrador,fire,9.453608980071783,13.406137781083785,532.8667564125637
2018,NL,Newfoundland and Labrador,fire,8.700941545561909,12.77425209345057,501.9625987550855
2019,NL,Newfoundland and Labrador,fire,9.189327745023801,12.952178657808409,502.50343435110085
2020,NL,Newfoundland and Labrador,fire,10.230989377972428,14.102484507464634,579.6980447252784
2021,NL,Newfoundland and Labrador,fire,10.6589116783708,14.620462463657535,533.5578092919374
2022,NL,Newfoundland and Labrador,fire,10.668330524791973,14.669663782729643,540.6574623344658
2023,NL,Newfoundland and Labrador,fire,11.283262164804054,15.351432197562586,507.7517868466245
2024,NL,Newfoundland and Labrador,fire,12.10817545094325,16.362435961593313,429.0098198004605
2025,NL,Newfoundland and Labrador,fire,10.753349741391094,15.015948480500082,485.9128591958901
1959,NS,Nova Scotia,fire,14.42617681962308,18.606406229259754,491.6787753477459
1960,NS,Nova Scotia,fire,15.505006059909928,19.969266433202755,344.2499451073351
1961,NS,Nova Scotia,fire,15.067465474652698,19.28643868380486,386.3417584741028
1962,NS,Nova Scotia,fire,13.38253446060189,17.357114864712344,510.00423830282006
1963,NS,Nova Scotia,fire,14.000504461532056,18.40021421409768,497.945595486403
1964,NS,Nova Scotia,fire,13.32863983136044,17.646951112029914,443.8495716730347
1965,NS,Nova Scotia,fire,14.034532513016671,18.605491119397183,271.1497164729656
1966,NS,Nova Scotia,fire,14.241790647015211,18.701440622226542,388.4274203951765
1967,NS,Nova Scotia,fire,14.490044375458794,18.706660746561017,492.0958145258535
1968,NS,Nova Scotia,fire,13.998948673617653,18.263770005579037,370.2422450578807
